날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2020-03-31,450,119,6684,64,20,36,39,46,476,36,44,128,13,9,1300,96,9
2020-04-01,474,122,6704,69,24,36,39,46,499,38,44,131,14,12,1302,100,9
2020-04-02,488,122,6725,73,25,36,40,46,516,39,44,133,14,14,1304,106,9
2020-04-03,506,122,6734,74,26,36,40,46,539,41,45,134,15,15,1309,107,9
2020-04-04,528,122,6761,77,26,36,40,46,562,42,45,135,15,15,1310,108,9
2020-04-05,552,122,6768,79,27,37,40,46,572,45,45,135,16,15,1314,109,12
2020-04-06,563,122,6781,80,27,39,40,46,580,45,45,136,16,15,1316,111,12
2020-04-07,567,123,6794,80,27,39,40,46,590,47,45,137,16,15,1317,112,12
2020-04-08,578,125,6803,84,27,39,40,46,596,49,45,137,17,15,1320,113,12
2020-04-09,590,125,6807,84,27,39,40,46,606,49,45,138,17,15,1320,115,12
2020-04-10,595,126,6807,85,27,39,40,46,615,49,45,138,17,15,1327,115,12
2020-04-11,599,126,6814,85,27,39,41,46,624,49,45,138,17,15,1330,115,12
2020-04-12,602,126,6816,86,27,39,41,46,628,49,45,139,17,15,1333,115,12
2020-04-13,610,126,6819,87,27,39,41,46,631,49,45,139,17,15,1337,115,12
2020-04-14,612,126,6822,88,27,39,42,46,639,49,45,139,17,15,1342,115,12
2020-04-15,617,127,6823,88,28,39,42,46,645,51,45,139,17,15,1348,115,13
2020-04-16,619,130,6827,88,28,39,42,46,649,52,45,139,17,15,1352,115,13
2020-04-17,621,130,6827,89,30,40,42,46,650,52,45,139,17,15,1356,115,13
2020-04-18,622,130,6830,90,30,39,42,46,654,53,45,141,17,15,1358,116,13
2020-04-19,624,130,6832,91,30,39,42,46,654,53,45,141,17,15,1359,116,13
2020-04-20,624,132,6833,92,30,39,43,46,656,53,45,141,17,15,1361,116,13
